source_name,source_type,category,url,priority,active
Giant Big Hands,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A2A6U8L88CPMNT&s=exact-aware-popularity-rank&ds=v1%3A8SoZoLZxzv52mfhI05Z7k2D0IaGPbcP%2B5RJ60pJMdto&marketplaceID=ATVPDKIKX0DER&qid=1776149740&ref=sr_st_exact-aware-popularity-rank,1,yes
LOVELYTEE,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A2WJ2LRSFW5CYV&s=exact-aware-popularity-rank&ds=v1%3All0hmCvpiQpaLEPjgIB%2Bx7R1rSc7fmTN9ObKovzMeWs&marketplaceID=ATVPDKIKX0DER&qid=1776149757&ref=sr_st_exact-aware-popularity-rank,1,yes
NicePod-LLC,seller,seller,https://www.amazon.com/s?i=merchant-items&me=AJ6Y7DJI4UPZF&s=exact-aware-popularity-rank&ds=v1%3AHQrhoINAF3IvgVymBmM0%2F8zYLFJ7pM%2FuujWka1kX6Fc&marketplaceID=ATVPDKIKX0DER&qid=1776151892&ref=sr_st_exact-aware-popularity-rank,1,yes
FunGiftsNGoods,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1Q5NT9THA3OMK&s=exact-aware-popularity-rank&ds=v1%3AEUd7jaVFGN%2FPwaZRHJlMuPKbycpB1VishC1ixc%2FcW%2FU&marketplaceID=ATVPDKIKX0DER&qid=1776151895&ref=sr_st_exact-aware-popularity-rank,1,yes
DXL Trading,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1XFOKFJ6LIQB&s=exact-aware-popularity-rank&ds=v1%3A4jE1QfUdXuxiIudoXoOGqz3SfYFrbP6Va2eQuRtB3%2Fg&marketplaceID=ATVPDKIKX0DER&qid=1776151898&ref=sr_st_exact-aware-popularity-rank,1,yes
AGift2U,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A2EL5L0GMKT00X&s=exact-aware-popularity-rank&ds=v1%3AfHMDkMCqDlVAJZZSsD%2BFK%2FXLZRrEUFGRvI%2BSVobRG2s&marketplaceID=ATVPDKIKX0DER&qid=1776151971&ref=sr_st_exact-aware-popularity-rank,1,yes
Only Gift 4U,seller,seller,https://www.amazon.com/s?i=merchant-items&me=AP0LRQGNISYZ2&s=exact-aware-popularity-rank&ds=v1%3A%2BBj%2B8wL7QUpff4rQidPI1Q1wfAMgowQcM3Dt82glSKw&marketplaceID=ATVPDKIKX0DER&qid=1776151973&ref=sr_st_exact-aware-popularity-rank,1,yes
BEAUTIFS,seller,seller,https://www.amazon.com/s?i=merchant-items&me=ADBAET893RY0A&s=exact-aware-popularity-rank&ds=v1%3AKe8vCsE1uY3fOehRBvR4feiI7D8s6fkeRci2E66NmGE&marketplaceID=ATVPDKIKX0DER&qid=1776151981&ref=sr_st_exact-aware-popularity-rank,1,yes
Dily Pod,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1OCNDPMK0L29K&s=exact-aware-popularity-rank&ds=v1%3A3P%2B8RCzucNe7sKaXgMNOVfSOvx6ZX8XppzLtjjpX5SU&marketplaceID=ATVPDKIKX0DER&qid=1776151985&ref=sr_st_exact-aware-popularity-rank,1,yes
TeeTheDay,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A11V9IWXR1EW8C&s=exact-aware-popularity-rank&ds=v1%3AhRZcswStCq016eyfs44rutu%2FLF%2Bj6DVfKkZrxCcFTP8&marketplaceID=ATVPDKIKX0DER&qid=1776152097&ref=sr_st_exact-aware-popularity-rank,1,yes
july17,seller,seller,https://www.amazon.com/s?i=merchant-items&me=AJ8P8BSNENMZA&s=exact-aware-popularity-rank&ds=v1%3A327TbVxfk4v0aR2jsriX2aA68nGdq5EknHeGDtgtGOc&marketplaceID=ATVPDKIKX0DER&qid=1776152100&ref=sr_st_exact-aware-popularity-rank,1,yes
Famiheart,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1GU2TRTLSZQX4&s=exact-aware-popularity-rank&ds=v1%3AhG3SYZiLqxK4cNSLeJP2iOqQvrgSfOXJ3T%2FVkA3EWg0&marketplaceID=ATVPDKIKX0DER&qid=1776152103&ref=sr_st_exact-aware-popularity-rank,1,yes
LBB Trading,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A3D2FVIUCX0QRY&s=exact-aware-popularity-rank&ds=v1%3ARtonIjCU68ua8hSvZgLqgUzSjjaLw8N1%2FsWfBw6CWC4&marketplaceID=ATVPDKIKX0DER&qid=1776152167&ref=sr_st_exact-aware-popularity-rank,1,yes
bozota,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1X47CX4SU1MV0&s=exact-aware-popularity-rank&ds=v1%3A95CLGkLnWjICfzgGSpsq2uwoOWV%2F3MMlF0tKDqq1BNY&marketplaceID=ATVPDKIKX0DER&qid=1776152173&ref=sr_st_exact-aware-popularity-rank,1,yes
FLYTOSKY,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1CNBPST728DFG&s=exact-aware-popularity-rank&ds=v1%3A%2F7XlqXgp0NUA1f3Mb3GFoW9EHHmrDdVUn%2FVv2mf%2FzBo&marketplaceID=ATVPDKIKX0DER&qid=1776152177&ref=sr_st_exact-aware-popularity-rank,1,yes
Poppop Store,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1WB2X9EGOJ0X9&s=exact-aware-popularity-rank&ds=v1%3AZaFfFXav1RKD0rD06Wmrx1YE%2BodknHiKb%2B4fPIyQPME&marketplaceID=ATVPDKIKX0DER&qid=1776152247&ref=sr_st_exact-aware-popularity-rank,1,yes
Leme Order,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1A28UE9ARYDSX&s=exact-aware-popularity-rank&ds=v1%3AH8yYAj2nYimeS4E%2FTKwuP%2BX0EfoezCATg8Ghnsles88&marketplaceID=ATVPDKIKX0DER&qid=1776152265&ref=sr_st_exact-aware-popularity-rank,1,yes
LullabyMall,seller,seller,https://www.amazon.com/s?i=merchant-items&me=AWCG95Z1PRNMJ&s=exact-aware-popularity-rank&ds=v1%3ANjgTmciY5kpIzBwjWoAJRChs3GD%2FCaGu2Hgz%2FObaPy8&marketplaceID=ATVPDKIKX0DER&qid=1776152288&ref=sr_st_exact-aware-popularity-rank,1,yes
POLIFY,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A2EE0SSLB7X91Q&s=exact-aware-popularity-rank&ds=v1%3AlPGwADyBMF0FYR1NlEyNlqFr4urA7yd31RbjIaWjQc4&marketplaceID=ATVPDKIKX0DER&qid=1776152305&ref=sr_st_exact-aware-popularity-rank,1,yes
